"season","host_type","year_c","beta","SE","df","beta_low","beta_high","iso_year","IRR","IRR_low","IRR_high","Season","Host"
"spring","captive",3.00566168524483,0.0527489761145994,0.0392917139803341,Inf,-0.0242613681777043,0.129759320406903,2023,1.05416499131156,0.976030573084787,1.13855432355434,"Spring","Poultry"
"autumn","wild",3.00566168524483,0.294799323806502,0.0264115017509805,Inf,0.243033731596964,0.34656491601604,2023,1.3428568522439,1.2751116349448,1.4142012951646,"Autumn","Wild birds"
"spring","wild",3.00566168524483,0.405762923945627,0.0322461941560745,Inf,0.342561544761235,0.468964303130019,2023,1.5004467902835,1.4085510399321,1.59833794207457,"Spring","Wild birds"
"autumn","captive",4.00566168524483,0.282479438044054,0.0275352638963014,Inf,0.228511312502497,0.33644756358561,2024,1.32641450113981,1.2567277417872,1.39996545817628,"Autumn","Poultry"
"spring","captive",4.00566168524483,0.0727120172077054,0.0408586760518779,Inf,-0.00736951630996453,0.152793550725375,2024,1.07542078963401,0.99265757199195,1.16508442327826,"Spring","Poultry"
"autumn","wild",4.00566168524483,0.320603349142791,0.0295685474972854,Inf,0.26265006097295,0.378556637312633,2024,1.37795890390054,1.30037158855392,1.46017550487266,"Autumn","Wild birds"
"spring","wild",4.00566168524483,0.431566949281917,0.0349022489486184,Inf,0.363159798363174,0.49997410020066,2024,1.53966821634435,1.43786560945472,1.64867856970302,"Spring","Wild birds"
"autumn","captive",5.00566168524483,0.30244247913716,0.0316379175648918,Inf,0.240433300164125,0.364451658110195,2025,1.35315983926105,1.27180010214202,1.43972433050215,"Autumn","Poultry"
"spring","captive",5.00566168524483,0.0926750583008114,0.0432517657144035,Inf,0.00790315523281633,0.177446961368807,2025,1.09710518211966,1.00793446759861,1.19416471936065,"Spring","Poultry"
"autumn","wild",5.00566168524483,0.346407374479081,0.033492777336736,Inf,0.280762737156859,0.412052011801303,2025,1.41397851726784,1.3241393975838,1.50991296757971,"Autumn","Wild birds"
"spring","wild",5.00566168524483,0.457370974618206,0.0383047318495142,Inf,0.382295079755694,0.532446869480718,2025,1.57991488386807,1.46564450335287,1.70309446428352,"Spring","Wild birds"
